"RE_ID","USER_ID","MOTEL_ID","RE_MOTEL_RATING1","RE_MOTEL_REVIEWS"
"549","245","48","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"550","246","48","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"551","247","48","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"552","248","48","4","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"553","249","48","5","Ở đây ăn nhậu thâu đêm hát hò thoãi mái k sợ chủ nhắc nhỡ...Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"554","250","48","5","Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"555","251","49","2","Nhà trọ rộng rãi nhưng hơi nóng. Yên tâm yên tĩnh yên lòng"
"556","252","49","4","Nhà trọ sạch sẽ, yên tĩnh, an ninh tốt. Phục vụ khách hàng tốt, phòng sạch sẽ"
"557","253","49","4","An ninh chặt chẻ
Quản lí dân dư tốt
Không khí trong lành"
"558","254","49","3","đang ở đây, sạch sẽ, an ninh được ưu tiên cao. Nhà trọ sạch sẽ, giá hợp lý, sẽ tuyệt vời hơn nếu gắn quạt hút vì hơi nóng.
"
"559","255","49","4","Nhà trọ mới sạch đẹp, lối đi rất rộng và thoáng mát. Hẻm rộng có camera của công an, trong nhà trọ cũng có camera rất an ninh."
"560","256","49","1","Giá cả hợp lý. An toàn, an ninh tốt. Gần Đại học Tây Đô."
"561","257","49","2","khu trọ yên tĩnh ,thích hợp cho sinh viên và người lớn tuổi ,giá cả phải chăng"
"562","258","49","5","khu trọ ngay trung tâm thành phố,giá cả sinh viên "
"563","259","49","5","nhà trọ chỉ dành riêng cho nữ, rất an toàn,cô chủ trọ rất dễ thương"
"564","260","49","3","nếu bạn thích không gian yên tĩnh xa thành phố thi đây là phòng trọ tốt,đối với giá cả có hơi đắt nhưng chất lượng"
"565","261","49","5","bạn sẽ không thấy điểm nào để chê cả"
"566","262","49","5","nếu chi phí tiêu vặt có hạn thì đây là phòng trọ giúp sinh viên giảm được phòng trọ đến mức tối thiểu"
"567","263","50","5","rất tuyệt vời,quá hoàn hảo"
"568","264","50","4","cô chủ trọ quá hài hước mà còn tốt bụng"
"569","265","50","4","không cần nói đến giá cả,mọi thứ đều ok "
"570","266","50","4","nếu bạn chọn phòng trọ này để ở thì đây là sự lựa chọn đúng đắn"
"571","267","50","3","Nhà trọ mới sạch đẹp, lối đi rất rộng và thoáng mát. Hẻm rộng có camera của công an, trong nhà trọ cũng có camera rất an ninh."
"572","268","50","5","Giá cả hợp lý. An toàn, an ninh tốt. Gần Đại học Tây Đô."
"573","269","50","5","chủ trọ quá tuyệt vời,giá cả khỏi bàn"
"574","270","50","4","nhà trọ có view quá tuyệt"
"575","271","50","1","ngay trung tâm thành phố mà nhà trọ có giá tiền quá rẻ"
"576","272","50","5","cô chủ rất thương sinh viên chỉ chủ yếu cho sinh viên mướn thui"
"577","273","50","5","quaá hoàn hảo"
"578","274","50","3","An toàn, rộng rãi, giá cả hợp lý. Nhà trọ giá sinh viên, phòng mới xây, rộng rãi."
"579","275","50","2","Phòng thoáng rộng, gió mát và nắng nhiều"
"580","276","50","2","vị trí nhà trọ thuận lợi"
"581","277","50","1","nhà ở bố trí rất tuyệt và rộng rãi"
"582","278","51","1","Nhà trọ thoáng mát, sạch sẽ, yên tĩnh. Sáng thức giấc không gian bình yên như ở quê. Rất thoải mái. Giá cả hợp lý, an ninh, không gian thoáng. Giá cả cũng tương đối hợp lý được cái khu này an ninh tốt nên ở khá an tâm nhé"
"583","279","51","5","nhà trọ rộng ,chủ trọ quá tuyệt"
"584","280","51","4","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"585","281","51","2","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"586","282","51","3","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"587","283","51","3","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"588","284","51","4","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"589","285","51","3","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"590","286","51","5","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"591","287","51","4","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"592","288","51","4","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"593","289","51","5","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"594","290","51","5","nhà trọ thoát mát sạch đẹp luôn không gian yên tĩnh"
"595","291","52","4","Bình thường tiền nào của nấy"
"596","292","52","5","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"597","293","52","4","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"598","294","52","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"599","295","52","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"600","296","52","4","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"601","297","52","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"602","298","52","4","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"603","299","52","5","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"604","300","52","4","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"605","301","52","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"606","302","52","4","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"607","303","52","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"608","304","52","4","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"609","305","53","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"610","306","53","5","Phòng k sạch lắm
Giá cả hợp lí"
"611","307","53","5","An ninh , giá cả hợp lý"
"612","308","53","5","Vị trí Mặt tiền đường Trần Nam Phú (Lộ ngân hàng) dễ tìm kiếm, dễ đi lại thuận tiện hơn"
"613","309","53","5","Xóa bài đánh giá 1 sao để cao điểm bình chọn ảo? Làm ăn gian lận vậy ad?"
"614","310","53","3","Phòng nầy bao tiền 1 tháng vậy các bạn"
"615","311","53","5","Nhà trọ rộng rãi, thoáng mát."
"616","312","53","5","Nhìn khách quan thì nhà trọ sạch đẹp an toàn"
"617","313","53","5","Nhà trọ tháng giá bình dân dành cho sinh viên"
"618","314","53","5","Khá ổn nhà rộng, sạch sẽ."
"619","315","53","5","Đường đi chưa tốt"
"620","316","53","5","Có sân phơi đồ riêng, nhà để xe nữa, wifi, camera ..."
"621","317","53","4","Nhà trọ an ninh, có wifi, camera, thuận tiện giao thông, ăn vặt..."
"622","318","53","5","Mọi thứ tuyệt vời"
"623","319","53","5","Sạch sẽ, thoáng mát, an ninh cao, giá cả phù hợp, ông chủ dễ chịu."
"624","320","54","5","Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"625","321","54","5","Chủ trọ thân thiện dễ gần vui vẻ, trọ ở yên tĩnh. Phòng trọ rộng rãi thoáng mát, có nhiều camera, đặc biệt có chó giữ nhà rất giỏi."
"626","322","54","4","Cho em hỏi còn phồng không ạ"
"627","323","54","4","800k rất hài lòng, phòng trọ phù hợp giá tiền."
"628","324","54","5","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"629","325","54","5","nhà  trọ thoát mát sạch đẹp  luôn
không gia yên tĩnh nữa"
"630","326","54","4","Bình thường tiền nào của nấy"
"631","327","54","5","Buổi tối khá là yên tỉnh"
"632","328","54","4","An ninh tốt"
"633","329","54","5","Chủ trọ dễ thương lắm"
"634","330","54","5","Phòng k sạch lắm
Giá cả hợp lí"
"635","331","54","5","An ninh , giá cả hợp lý"
"636","332","54","5","Nhà Trọ có sân vườn, hồ cá, nơi đậu xe quá rộng, sân phơi đồ. Vừa ý mình"
"637","333","54","5","Nhà Trọ Sinh Viên tuyệt nhất Cần Thơ"
"638","334","54","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết "
"639","224","54","4","Đây là nhà nghỉ mà chủ có lối hành xử thô thiển nhất tui từng biết. Chủ người Bắc nói tục chửi thề với khách thật không ra gì"
"640","225","54","3","Gần truòng ĐHCT"
"641","226","55","4","Chỗ tui ở mà"
"642","227","55","2","Nhà trọ sinh viên sạch, sinh viên vui vẻ"
"643","228","55","2","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"644","229","55","1","Cho em hỏi nhà trọ 1tháng giá bao nhiêu vậy ạ"
"645","230","55","5","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"646","231","55","4","Nhà trọ lớn 4*10m, có phòng khách, phòng ngủ, bếp, WC. An ninh, yên tĩnh, ko qui định giờ khóa cửa cố định, mỗi nhà có chìa khoá rào riêng. Giá cả hợp lí"
"647","232","55","5","Nha tro dep, gia re"
"648","233","55","5","Trọ khá khuất với lại tối ở trong phòng buổi sáng cx phải bật đèn"
"649","234","55","1","Phòng trọ to, rộng, giá rẻ nhưng hay nghẹt cầu và đường lưu thông nội bộ rất bé"
"650","235","55","5","An ninh"
"651","236","55","5","Sạch sẽ, thoáng mát, tiện lợi"
"652","237","55","4","Nhà trọ rộng rãi, thoáng mát, có nơi để xe riêng, camera an ninh"
"653","238","55","5","Nhà trọ cũng tạm được"
"654","239","55","4","Nhậu vui quá,ae nhiệt tình"
"655","240","56","2","Phòng trọ rẻ ,ăn ninh"
"656","241","56","3","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"657","242","56","5","Được"
"658","243","56","5","Hơi nóng, có nhiều thành phần hỗn tạp, wifi yếu"
"659","244","56","5","Không tiện nghi"
"660","245","56","5","Wifi yếu quá"
"661","246","56","4","Sạch sẽ đầy đủ tiện nghi an ninh"
"662","247","56","5","Nóng, hôi cống và hơi ồn."
"663","248","56","5","Nha tro moi sach dep, gia binh dan"
"664","249","56","2","NÓNG, wifi yếu xài ko đc"
"665","250","56","4","Phòng có nhiều chuột và gián."
"666","251","56","4","Đồng ý"
"667","252","57","3","Ok"
"668","253","57","4","Chỗ ở thì ổn nhưng xung quanh thiếu tiệm tạp hóa, chỉ có duy nhất 1 tiệm, tiệm này bán công buổi trưa và chiều nhưng giá khá chác, 20k."
"669","254","57","1","Được"
"670","255","57","2","Nhà trọ thoáng mát, sạch sẽ, an ninh trật tự tốt."
"671","256","57","5","An ninh tốt, quản lí thân thiện, đường vào trọ không quá xa, điện nước giá theo quy định, phòng còn mới, phòng không bị ngập nước"
"672","257","57","5","Nhà rộng, sạch sẽ, quản lí nhiệt tình vui vẻ
Tuy nhiên, phòng 34 cửa toilet chưa được sửa chữa, nhiều gián ( sợ nhất con này), lối đi chật, dắt xe hk ra được."
"673","258","57","3","Nhà khá sâu trong hẻm, xe 4 bánh chưa thực sự vào được, cúp điện thường xuyên vào mùa mưa, đường vắng nhiều khúc cua nguy hiểm khi đi hẻm 112 đường 3/2 vào."
"674","259","57","5","Nhà trọ mới đẹp, có điều vào hẻm sâu quá"
"675","260","57","5","Quá nhiều gián"
"676","70","57","5","Không tốt"
"677","71","57","4","Tốt"
"678","72","57","4","Nhà trọ văn minh, lịch sự"
"679","73","58","4","Tiếc là"
"680","74","58","3","Nhà trọ có camera an ninh, giờ tự do, có khóa cổng chính, phòng làm ổ khóa ko kiên cố cho lắm, tuy nhiên nhiều phòng nên ko có chuyện ng lạ vào bẻ khóa mà ko ai hay. Chổ để xe nhỏ và để chung ở góc cầu thang dễ mất nếu có nội gián trong nhà trọ!"
"681","75","58","5","Nhà trọ Phược Lộc 63X Tổ 10"
"682","76","58","5","Thấy tạm được có điều đường chưa được ok lắm, và đi vào ban đêm ko đc an toàn cho lắm"
"683","77","58","4","Nhà trọ là phải lưu ý bị trộm, do nhiều người ra vào và có kẻ xấu trà trộn với mọi hình thức. Nên cẩn thận cửa nẻo dù chỉ quay mặt vô tolet."
"684","78","58","1","Sạch swx. Thoáng mát. Lịch sự. Giá cả phải chăng."
"685","79","58","5","Khá ổn nhưng ngõ vào thì hẹp với đường xấu"
"686","80","58","5","Giơ dáy. Ngập nước"
"687","81","58","3","Mọi thứ đều ổn cho tới mùa nước lên và có phòng bị trộm đồ"
"688","82","58","2","Khá yên tĩnh! 1 lựa chọn khá tốt"
"689","83","58","2","Giá sinh viên"
"690","84","58","1","Cũng tạm... kem cheese ngọt quá"
"691","85","58","1","cũng duoc"
"692","86","59","5","Nhân viên rất oke, trà sữa tạm"
"693","87","59","4","Bình dân"
"694","88","59","2","Sạch sẽ"
"695","89","59","3","Khá yên tĩnh! 1 lựa chọn khá tốt"
"696","90","59","3","Giá sinh viên"
"697","91","59","4","Cũng tạm... kem cheese ngọt quá"
"698","92","59","3","cũng duoc"
"699","93","59","5","Nhân viên rất oke, trà sữa tạm"
"700","94","59","4","Bình dân"
"701","95","59","4","Sạch sẽ"
"702","96","59","5","Nhờ Bạn đánh giá vậy !"
"703","97","59","5","Hơi ẩm"
"704","98","59","4","Tiện nghi"
"705","99","59","5","Nhà trọ đáng để thuê"
"706","100","59","4","Nhà trọ an ninh tốt"
"707","101","60","5","Dk"
"708","102","60","5","Tạm chấp nhận được"
"709","103","60","4","Đươc"
"710","104","60","5","Tam duoc"
"711","105","60","4","Thoáng mát,  an ninh"
"712","106","60","5","ngập"
"713","107","60","4","Duoc"
"714","108","60","5","Dơ lắm"
"715","109","60","4","Tôi đã sống ở đây được 5 năm ..."
"716","110","60","5","Ok"
"717","111","60","4","Good"
"718","112","60","5","Good"
"719","113","60","5","Nhà trọ thoáng mát, sạch sẽ, yên tĩnh. Sáng thức giấc không gian bình yên như ở quê. Rất thoải mái. Giá cả hợp lý, an ninh, không gian thoáng. Giá cả cũng tương đối hợp lý được cái khu này an ninh tốt nên ở khá an tâm nhé"
"720","114","60","5","Giá cả hợp lý, an ninh, không gian thoáng"
"721","115","60","5","Giá cả cũng tương đối hợp lý được cái khu này an ninh tốt nên ở khá an tâm nhé"
"722","116","61","5","Rất tốt"
"723","117","61","3","Rất tốt"
"724","118","61","5","Tot"
"725","119","61","5","Tot"
"726","120","61","5","Tot"
"727","121","61","5","Tot"
"728","122","61","5","Ở đây ăn nhậu thâu đêm hát hò thoãi mái k sợ chủ nhắc nhỡ..."
"729","123","61","5","Phu hop cho sinh vien"
"730","124","61","4","Binh dan"
"731","125","61","5","Nhà trọ tự quản. Rất thích"
"732","126","61","5","Tuyệt vời"
"733","127","61","5","Tốt"
"734","128","61","5","Nhà trọ sạch sẽ, giá hợp lý, sẽ tuyệt vời hơn nếu gắn quạt hút vì hơi nóng."
"735","129","61","4","Nhà trọ an ninh, sạch sẽ"
"736","130","61","4","Bình dân"
"737","131","62","5","Nhà trọ sạch sẽ, yên tĩnh, an ninh tốt "
"738","132","62","5","Phục vụ khách hàng tốt, phòng sạch sẽ"
"739","133","62","4","
An toàn, rộng rãi, giá cả hợp lý."
"740","134","62","5","thuận tiện"
"741","135","62","4","Thoáng mát, không có wifi. Giá trung bình"
"742","136","62","5","Nhà trọ sạch sẽ, sang trọng, an ninh, wifi mạnh, chủ dễ thương"
"743","137","62","5","Nhà Trọ khang trang sạch đẹp quá
sân đậu xe rộng rãi
Nhà mặt hướng ra sông hứng gió cực mát"
"744","138","62","5","Nhà trọ như Khách sạn. Trưen trục đường xuống chợ đầu mối, bến Ninh Kiều"
"745","139","62","5","Nhà trọ 17 60 phòng xây dựng mới với nhiều mức giá phù hợp cho các đối tượng, trang thiết bị mới, đầy đủ tiện nghi, máy điều hòa quạt, giường gỗ, hệ thống nước nóng lạnh, các thiết bị WC mới, phục vụ giặt ủi, bảo vệ 24/24, dịch vụ vệ sinh hằng ngày"
"746","140","62","5","Nhà trọ ok , đường đi gần trường đại học , không bị ngập lụt thoáng mát sạch sẽ thích hợp cho sinh viên đo học thuê ở , ở đây thoáng mát dễ đi chuyển đi học , mọi người xung quabh rất vui vẻ và hoà đồng có nhiều bạn sinh viên đi học ở đây rất tiện lợi , nước điện xài rất ok có đường đi để xe thì rộng bà chủ dê thương rất ok bạn bè giới thiệu nên biết chỗ này ở"
"747","141","62","5","Tốt sạch sẽ. Đây là nhà trọ tháng."
"748","142","62","4","Hoa"
"749","143","62","3","Chất lượng không tốt,  có ông quản lý khó chịu, mông các bạn tránh xa ra , cái thể loại khó ưa lắm , đây là cảm nhận của các bạn ở đây và tôi cũng thế , có hưa j kieu sửa trần thân, mới đầu nói j cũng hay lắm , ở đi rồi mấy bạn sẽ biết , đó là ý kiến của mình chỉ mong các bạn nên  tránh ."
"750","144","62","4","Kém vô cùng quản lý khó chịu , mới đầu j cũng đc về sau như cức , đụng đâu sủa đó, mong các bạn k nên ở đây"
"751","145","62","2","Kém , k nên ở"
"752","146","62","2","Yên tâm yên tĩnh yên lòng"
"753","147","62","1","Kém chất lượng. Không có đóng cừ mà lên lầu.nên nền bị lúng,nguy hiểm."
"754","148","63","5","Cũng tạm được"
"755","149","63","4","Tốt"
"756","150","63","5","Giá phòng tầm 900, Cô chủ trọ thân thiện tốt bụng, phơi đồ không lo mưa ướt."
"757","151","63","5","Sống sao cho thỏa ơn trời ban cho"
"758","152","63","1","Tốt nhưng đắt"
"759","153","63","5","Tuyệt vời!"
"760","154","63","5","Nhà Trọ Cô Tuyết đạt chuẩn nhà trọ văn minh tiêu biểu."
"761","155","63","4","Nhà trọ yên tĩnh"
"762","156","63","5","Kinh ngạc. Làm tốt lắm"
"763","157","63","4","Gia binh dân"
"764","158","63","2","Phù hợp cho sinh viên"
"765","159","63","3","Phòng bình thường, nhưng giá hơi cao. 1 đêm 180k. Giá gần bằng ks luôn rồi."
"766","160","63","5","Phòng nhỏ giá hơi cao. Không có chỗ giữ xe. Phải đưa xe vào phòng."
"767","161","63","5","Tạm ổn.đi lại hơi bất tiện"
"768","162","63","5","Tốt"
"769","163","63","5","Tốt"
"770","164","63","4","Tốt"
"771","165","64","5","Tốt"
"772","166","64","5","Nhà trọ an ninh tốt, sạch đẹp, thoáng mát, an toàn."
"773","167","64","2","Sạch sẽ, đẹp và khang trang"
"774","168","64","4","Nhà trọ sạch sẽ. Rộng rãi chỉ có điều là wifi yếu quá yếu"
"775","169","64","4","Trọ nhiều phòng sạch sẽ tốt an ninh."
"776","170","64","3","Rộng, đẹp"
"777","171","64","4","Vâng"
"778","172","64","1","Dơ. Nóng nực"
"779","173","64","2","Nhà trọ dơ chủ nói chuyện rất md"
"780","174","64","5","Trọ lớn mà kiếm hoài ko thấy"
"781","175","64","5","có xảy ra trộm cắp mất xe giờ lắp camera"
"782","176","64","3","Nhà trọ tốt
Có không gian riêng tư nhưng tổng quan lại vẫn chưa thể đạt 5* về mặt bằng chung"
"783","177","64","5","Giá bình dân"
"784","178","64","5","Nóng nực"
"785","179","64","5","Dai va rong"
"786","180","64","4","Tồi tệ"
"787","181","64","4","Nhà trọ giá sinh viên, phòng mới xây, rộng rãi."
"788","182","65","4","Phòng thoáng rộng, gió mát và nắng nhiều"
"789","183","65","3","Yên tĩnh, rộng rãi"
"790","184","65","5","trọ phù hợp với sinh viên , tiện việc đi học và đi làm do giờ tự do"
"791","185","65","5","nhà trọ thoải mái, chủ yếu sinh viên, chủ trọ còn trẻ nên khá oki"
"792","186","65","4","nhà trọ sạch sẽ, khách trọ là sinh viên nên thoải mái"
"793","187","65","1","10 năm trước đây mình từng ở nơi đây , chủ nhà trọ rất thương người lao động , đặc biệt là sinh viên ."
"794","188","65","5","Giá cả phải chăng, có wiffi free mạnh nữa."
"795","189","65","5","Vâng"
"796","190","65","3","Ghé chơi chỗ bạn ở"
"797","191","65","2","Quá rẽ cho ae"
"798","192","65","2","Chỗ ở tốt"
"799","193","65","1","Rất tốt"
"800","194","65","1","Rất tốt"
"801","195","65","5","Được"
"802","196","65","4","Nhà trọ tốt
Có không gian riêng tư nhưng tổng quan lại vẫn chưa thể đạt 5* về mặt bằng chung"
"803","197","66","2","Không gian rộng rãi, thoải mái, phòng sạch sẽ, giá cả hợp lý"
"804","198","66","3","Phòng sạch, giá phải chăng"
"805","199","66","3","Tốt"
"806","200","66","4","Rộng rãi. Nhiều phòng. Giá rẻ. An toàn. Có chỗ phơi đồ và đậu xe trong mát. Có wifi nhưng hơi yếu và không free"
"807","201","66","0","Đây là nhà trọ ấm cúng nhất."
"808","202","66","5","Phòng trọ đẹp. Giá phải chăng. Đường đi vào nhà trọ nhỏ, khó đi nhất là vào mùa mưa. Tuy nhiên nhà trọ rất yên tĩnh. Không bị ồn ào bởi xe cộ. Xung quanh nhà trọ cũng rất tiện lợi để đến các bệnh viện hay trường học"
"809","203","66","4","Nhà chọ thuên hương mình sống ở đây hơn 5 năm rồi. Nhà trọ ban an ninh, thoán mát. Cổng từ và lắp các camera từ ngoài cổng vào tới trong các dẫy trọ. Phòng rộng thoán mát, giá sinh viên nưa"
"810","204","66","4","Có camera an ninh. Giá rẻ. Phòng rộng"
"811","205","66","5","có camera giám sát an ninh ok"
"812","206","66","5","Sạch sẽ thoanga mát"
"813","207","66","4","Nơi này là an toàn và an ninh Trong và ngoài với một thẻ để mở cổng. Nhà Tro này là sinh viên đắt tiền và chỉ có 2.5k / 1 Kg điện. 8k / 1 Khối nước. Đó là Nice, yên tĩnh và sạch sẽ gần cửa hàng siêu thị, trong cửa hàng cửa hàng tiện lợi là rất gần. Và nhiều tiệm làm tóc tiệm cà phê, phòng trò chơi xung quanh. Tôi chỉ thích và đọc các commont.
Vị trí này rộng rãi cho mọi người cảm thấy thoải mái khi ở lại đây. Tôi hy vọng các bản đồ google vị trí chính xác trên đó để gửi nhiều doanh nghiệp đến nơi này."
"814","208","66","5","Không an toàn"
"815","209","66","4","Tốt"
"816","210","66","5","Tốt"
"817","211","67","5","Tốt"
"818","212","67","4","Khá ổn.

Giá phòng quạt lúc mình đặt là: 80.000₫/đêm.

Phòng sạch sẽ, không gian ổn, giá cả hợp lý, thích hợp du lịch bụi ghé ở đêm."
"819","213","67","5","Phòng ở đây nhìu ko, mỗi phòng có rộng ko. Em định lại thuê
Xin cho ý kiến"
"820","214","67","4","Nơi lưu trú an toàn giá ok cho những bạn đi du lịch tự túc."
"821","215","67","5","Phòng ổn, bình dân nhưng cũng khá thoải mái"
"822","216","67","4","Giá cao, dịch vụ ổn. Ko chê"
"823","217","67","5","Giá thành hợp lý,  phù hợp với Sinh Viên ."
"824","218","67","4","Giá bình dân , yên tỉnh và sạch sẽ. Gần chợ nổi Cái Răng"
"825","219","67","5","Phòng sạch sẽ, thoáng
Giá cả hợp lý"
"826","220","67","4","Nhà trọ sạch sẽ, yên tĩnh, thoáng mát đúng là nơi cho sinh viên sinh hoạt trong những năm ăn học tại giảng đường đại học."
"827","221","67","5","Tiện lợi, sạch sẽ, thoáng mát, thoải mát, chủ nhà trọ hiền, hòa đồng, vui tươi"
